ARTIST NAME,ARTIST PAGE URL,BIRTHDAY (YYYY-MM-DD)
Eazy-E,https://www.udiscovermusic.com/artist/Eazy-E,
Eddie Cochran,https://www.udiscovermusic.com/artist/Eddie-Cochran,
Eddie Kendricks,https://www.udiscovermusic.com/artist/Eddie-Kendrick,
Eels,https://www.udiscovermusic.com/artist/eels,
Elbow,https://www.udiscovermusic.com/artist/elbow,
Ella Fitzgerald,https://www.udiscovermusic.com/artist/Ella-Fitzgerald,
Elvis Presley,https://www.udiscovermusic.com/artist/Elvis-Presley,
Emeli Sandé,https://www.udiscovermusic.com/artist/emeli-sande,
Enigma,https://www.udiscovermusic.com/artist/enigma,
Eric B and Rakim,https://www.udiscovermusic.com/artist/eric-b-and-rakim,
Etta James,https://www.udiscovermusic.com/artist/Etta-James,
Eva Cassidy,https://www.udiscovermusic.com/artist/eva-cassidy,
Evanescence,https://www.udiscovermusic.com/artist/evanescence,
Extreme,https://www.udiscovermusic.com/artist/extreme,
Fairport Convention,https://www.udiscovermusic.com/artist/fairport-convention,
Fall Out Boy,https://www.udiscovermusic.com/artist/fall-out-boy,
Faust,https://www.udiscovermusic.com/artist/faust,
Fergie,https://www.udiscovermusic.com/artist/fergie,
Florence and the Machine,https://www.udiscovermusic.com/artist/florence-and-the-machine,
Foo Fighters,https://www.udiscovermusic.com/artist/foo-fighter,
Frankie Goes To Hollywood,https://www.udiscovermusic.com/artist/frankie-goes-to-hollywood,
Free,https://www.udiscovermusic.com/artist/Free,
Gang Starr,https://www.udiscovermusic.com/artist/gang-starr,
Gary Clark,https://www.udiscovermusic.com/artist/danny-wilson-gary-clark,
Gaz Coombe,https://www.udiscovermusic.com/artist/gaz-coombe,
Gene Vincent,https://www.udiscovermusic.com/artist/gene-vincent,
Gentle Giant,https://www.udiscovermusic.com/artist/gentle-giant,
George Benson,https://www.udiscovermusic.com/artist/george-benson,
George Gershwin,https://www.udiscovermusic.com/artist/george-gershwi,
George Michael,https://www.udiscovermusic.com/artist/george-michael,
George Strait,https://www.udiscovermusic.com/artist/George-Strait,
George Thorogood,https://www.udiscovermusic.com/artist/George-Thorogood,
Georgie Fame,https://www.udiscovermusic.com/artist/Georgie-Fame,
Ghostface Killah,https://www.udiscovermusic.com/artist/ghostface-killah,
Gong,https://www.udiscovermusic.com/artist/gong,
Grace Jones,https://www.udiscovermusic.com/artist/Grace-Jones,
Graham Parker,https://www.udiscovermusic.com/artist/graham-parker,
Grand Funk Railroad,https://www.udiscovermusic.com/artist/grand-funk-railroad,
Gregory Isaacs,https://www.udiscovermusic.com/artist/gregory-isaacs,
Gregory Porter,https://www.udiscovermusic.com/artist/gregory-porter,
Guns N Roses,https://www.udiscovermusic.com/artist/Guns-N-Roses,
Haddaway,https://www.udiscovermusic.com/artist/haddawa,
Heart,https://www.udiscovermusic.com/artist/heart,
Heaven 17,https://www.udiscovermusic.com/artist/Heaven-17,
Helmet,https://www.udiscovermusic.com/artist/helmet,
Hoobastank,https://www.udiscovermusic.com/artist/hoobastank,
Howlin Wolf,https://www.udiscovermusic.com/artist/Howlin-Wolf,
Hoyt Axton,https://www.udiscovermusic.com/artist/hoyt-axton,
Huey Lewis & The News,https://www.udiscovermusic.com/artist/huey-lewis-and-the-news,
Human League,https://www.udiscovermusic.com/artist/human-league,
Humble Pie,https://www.udiscovermusic.com/artist/Humble-Pie,
INXS,https://www.udiscovermusic.com/artist/inxs,
Ice Cube,https://www.udiscovermusic.com/artist/ice-cube,
Iggy Pop,https://www.udiscovermusic.com/artist/Iggy-Pop,
Imagine Dragons,https://www.udiscovermusic.com/artist/Imagine-Dragons,
Iron Maiden,https://www.udiscovermusic.com/artist/iron-maiden,
It Bites,https://www.udiscovermusic.com/artist/it-bites,
J.J. Cale,https://www.udiscovermusic.com/artist/j-j-cale,
Jack Bruce,https://www.udiscovermusic.com/artist/jack-bruce,
Jack Johnson,https://www.udiscovermusic.com/artist/jack-johnson,
Jackie Wilson,https://www.udiscovermusic.com/artist/jackie-wilson,
Jacques Brel,https://www.udiscovermusic.com/artist/jacques-brel,
James,https://www.udiscovermusic.com/artist/james,
James Bay,https://www.udiscovermusic.com/artist/james-bay,
James Blake,https://www.udiscovermusic.com/artist/james-blake,
James Morrison,https://www.udiscovermusic.com/artist/james-morrison,
James Taylor,https://www.udiscovermusic.com/artist/james-taylor,
Jane's Addiction,https://www.udiscovermusic.com/artist/janes-addiction,
Japan,https://www.udiscovermusic.com/artist/japan-david-sylvian,
Jay Z,https://www.udiscovermusic.com/artist/jay-z,
Jeff Buckley,https://www.udiscovermusic.com/artist/jeffbuckley,
Jeru The Damaja,https://www.udiscovermusic.com/artist/jeru-the-damaja,
Jethro Tull,https://www.udiscovermusic.com/artist/jethro-tul,
Jimi Hendrix,https://www.udiscovermusic.com/artist/jimi-hendrix,
Jimmy Buffett,https://www.udiscovermusic.com/artist/jimmy-buffett,
Jimmy Cliff,https://www.udiscovermusic.com/artist/jimmy-cliff,
Jimmy Eat World,https://www.udiscovermusic.com/artist/jimmy-eat-world,
Jimmy Ruffin,https://www.udiscovermusic.com/artist/jimmy-ruffin,
Jimmy Smith,https://www.udiscovermusic.com/artist/jimmy-smith,
Joan Armatrading,https://www.udiscovermusic.com/artist/joan-armatrading,
Joan Baez,https://www.udiscovermusic.com/artist/joan-baez,
Joe Cocker,https://www.udiscovermusic.com/artist/joe-cocker,
Joe Jackson,https://www.udiscovermusic.com/artist/joe-jackson,
Joe Sample,https://www.udiscovermusic.com/artist/joe-sample,
Joe Walsh,https://www.udiscovermusic.com/artist/joe-walsh-the-james-gang,
John Coltrane,https://www.udiscovermusic.com/artists/john-coltrane/,
John Fogerty,https://www.udiscovermusic.com/artist/john-fogerty,
John Martyn,https://www.udiscovermusic.com/artist/john-martyn,
John Mayall,https://www.udiscovermusic.com/artist/john-mayall,
John Williams,https://www.udiscovermusic.com/artist/john-williams,
Johnny Gill,https://www.udiscovermusic.com/artist/johnny-gill,
Joni Mitchell,https://www.udiscovermusic.com/artist/joni-mitchell,
Jonny Lang,https://www.udiscovermusic.com/artist/jonny-lang,
Jorge Ben,https://www.udiscovermusic.com/artist/jorge-ben,
Joss Stone,https://www.udiscovermusic.com/artist/joss-stone,
Jr. Walker & the All-Stars,https://www.udiscovermusic.com/artist/jr-walker-the-all-stars,
Julie London,https://www.udiscovermusic.com/artist/julie-london,
Jurassic 5,https://www.udiscovermusic.com/artist/jurassic-5,
Kaiser Chiefs,https://www.udiscovermusic.com/artist/kaiser-chiefs,
Kate Bush,https://www.udiscovermusic.com/artist/kate-bush,
Keane,https://www.udiscovermusic.com/artist/keane,
Keith Jarrett,https://www.udiscovermusic.com/artist/keith-jarrett,
Keith Richards,https://www.udiscovermusic.com/artist/keith-richards,
Kenny Burrell,https://www.udiscovermusic.com/artist/kenny-burrell,
Kevin Coyne,https://www.udiscovermusic.com/artist/kevin-coyne,
Killing Joke,https://www.udiscovermusic.com/artist/killing-joke,
Kim Carnes,https://www.udiscovermusic.com/artist/kim-carnes,
Kip Moore,https://www.udiscovermusic.com/artist/kip-moore,
Klaatu,https://www.udiscovermusic.com/artist/klaatu,
Kool and the Gang,https://www.udiscovermusic.com/artist/kool-and-the-gang,
Lady A,https://www.udiscovermusic.com/artist/lady-antebellum,
Laura Marling,https://www.udiscovermusic.com/artist/laura-marling,
Led Zeppelin,https://www.udiscovermusic.com/artist/led-zeppelin,
Lee Scratch Perry,https://www.udiscovermusic.com/artist/lee-scratch-perry,
Leon Russell,https://www.udiscovermusic.com/artist/leon-russell,
Lester Young,https://www.udiscovermusic.com/artist/lester-young,
Level 42,https://www.udiscovermusic.com/artist/level-42,
Lightnin' Hopkins,https://www.udiscovermusic.com/artist/lightnin-hopkins,
Linton Kwesi Johnson,https://www.udiscovermusic.com/artist/linton-kwesi-johnson,
Little Big Town,https://www.udiscovermusic.com/artist/little-big-town,
Little Richard,https://www.udiscovermusic.com/artist/little-richard,
Lloyd Cole,https://www.udiscovermusic.com/artist/lloyd-cole,
Lorde,https://www.udiscovermusic.com/artist/lorde,
Loreena McKennitt,https://www.udiscovermusic.com/artist/loreena-mckennit,
Louis Armstrong,https://www.udiscovermusic.com/artist/louis-armstrong,
Lucinda Williams,https://www.udiscovermusic.com/artist/lucinda-williams,
Ludovico Einaudi,https://www.udiscovermusic.com/artist/ludovico-einaudi,
Luke Bryan,https://www.udiscovermusic.com/artist/luke-bryan,
Lulu,https://www.udiscovermusic.com/artist/lulu,
Lynyrd Skynyrd,https://www.udiscovermusic.com/artist/lynyrd-skynyrd,
Maddie & Tae,https://www.udiscovermusic.com/artist/maddie-and-tae,
Madonna,https://www.udiscovermusic.com/artist/madonna,
Magazine,https://www.udiscovermusic.com/artists/magazine/,
Marc Almond,https://www.udiscovermusic.com/artist/marc-almond,
Marilyn Manson,https://www.udiscovermusic.com/artist/Marilyn-Manson,
Mark Knopfler,https://www.udiscovermusic.com/artist/Mark-Knopfler,
Martha Reeves & The Vandellas,https://www.udiscovermusic.com/artists/martha-reeves-the-vandellas/,
Mary Hopkin,https://www.udiscovermusic.com/artist/mary-hopkin,
Mary J Blige,https://www.udiscovermusic.com/artist/Mary-J-Blige,
Mary Wells,https://www.udiscovermusic.com/artist/mary-wells,
Massive Attack,https://www.udiscovermusic.com/artist/massive-attack,
Master P,https://www.udiscovermusic.com/artist/master-p,
Maxi Priest,https://www.udiscovermusic.com/artist/maxi-priest,
Meat Loaf,https://www.udiscovermusic.com/artist/meat-loaf,
Megadeth,https://www.udiscovermusic.com/artist/megadeth,
Mel Torme,https://www.udiscovermusic.com/artist/mel-torm,
Melody Gardot,https://www.udiscovermusic.com/artist/Melody-Gardot,
Metallica,https://www.udiscovermusic.com/artist/Metallica,
Method Man,https://www.udiscovermusic.com/artist/method-man,
Michael Jackson,https://www.udiscovermusic.com/artist/Michael-Jackson,
Michael Nyman,https://www.udiscovermusic.com/artist/michael-nyman,
Mike Oldfield,https://www.udiscovermusic.com/artist/mike-oldfield,
Mike and the Mechanics,https://www.udiscovermusic.com/artist/mike-and-the-mechanics,
Miles Davis,https://www.udiscovermusic.com/artist/Miles-Davis,
Minnie Riperton,https://www.udiscovermusic.com/artist/minnie-riperton,
Morrissey,https://www.udiscovermusic.com/artist/Morrissey,
Motley Crue,https://www.udiscovermusic.com/artist/motley-crue,
Motorhead,https://www.udiscovermusic.com/artist/Motorhead,
Mumford & Sons,https://www.udiscovermusic.com/artist/Mumford-And-Sons,
N.W.A,https://www.udiscovermusic.com/artist/NWA,
NAS,https://www.udiscovermusic.com/artist/Nas,
Nancy Griffith,https://www.udiscovermusic.com/artist/Nanci-Griffith,
Nazareth,https://www.udiscovermusic.com/artist/nazareth,
Neil Young,https://www.udiscovermusic.com/artist/neil-young,
Nelly,https://www.udiscovermusic.com/artist/nelly,
Neneh Cherry,https://www.udiscovermusic.com/artist/neneh-cherry,
New Edition,https://www.udiscovermusic.com/artist/new-edition,
New York Dolls,https://www.udiscovermusic.com/artist/New-York-Dolls,
Nick Drake,https://www.udiscovermusic.com/artist/Nick-Drake,
Nik Kershaw,https://www.udiscovermusic.com/artist/nik-kershaw,
Nina Simone,https://www.udiscovermusic.com/artist/Nina-Simone,
Nine Inch Nails,https://www.udiscovermusic.com/artist/Nine-Inch-Nails,
Nirvana,https://www.udiscovermusic.com/artist/Nirvana,
Nitty Gritty Dirt Band,https://www.udiscovermusic.com/artist/Nitty-Gritty-Dirt-Band,
No Doubt,https://www.udiscovermusic.com/artist/No-Doubt,
OMD,https://www.udiscovermusic.com/artist/OMD,
Ocean Colour Scene,https://www.udiscovermusic.com/artist/Ocean-Colour-Scene,
OneRepublic,https://www.udiscovermusic.com/artists/onerepublic/,
Onyx,https://www.udiscovermusic.com/artist/onyx,
Oscar Peterson,https://www.udiscovermusic.com/artist/Oscar-Peterson,
Otis Redding,https://www.udiscovermusic.com/artist/Otis-Redding,
PJ Harvey,https://www.udiscovermusic.com/artist/pj-harvey,
Papa Roach,https://www.udiscovermusic.com/artist/papa-roach,
Pato Banton,https://www.udiscovermusic.com/artist/pato-banton,
Patty Griffin,https://www.udiscovermusic.com/artist/patty-griffin,
Paul McCartney and Wings,https://www.udiscovermusic.com/artist/paul-mccartney-and-wings,
Paul Simon,https://www.udiscovermusic.com/artist/paul-simon,
Paul Weller,https://www.udiscovermusic.com/artist/paul-weller,
Peaches & Herb,https://www.udiscovermusic.com/artist/peaches-and-herb,
Pearl Jam,https://www.udiscovermusic.com/artist/pearl-jam,
Pete Townshend,https://www.udiscovermusic.com/artist/Pete-Townshend,
Peter Gabriel,https://www.udiscovermusic.com/artist/peter-gabriel,
Phil Collins,https://www.udiscovermusic.com/artist/Phil-Collins,
Phil Manzanera,https://www.udiscovermusic.com/artist/phil-manzanera,
PiL,https://www.udiscovermusic.com/artist/pil,
Pink Floyd,https://www.udiscovermusic.com/artist/Pink-Floyd,
Placebo,https://www.udiscovermusic.com/artist/placebo,
Poco,https://www.udiscovermusic.com/artist/poco,
Poison,https://www.udiscovermusic.com/artist/Poison,
Portishead,https://www.udiscovermusic.com/artist/portishead,
Prince,https://www.udiscovermusic.com/artist/Prince,
Public Enemy,https://www.udiscovermusic.com/artist/Public-Enemy,
Pulp,https://www.udiscovermusic.com/artist/Pulp,
Queens of the Stone Age,https://www.udiscovermusic.com/artist/Queens-Of-The-Stone-Age,
Quicksilver Messenger Service,https://www.udiscovermusic.com/artist/quicksilver-messenger-service,
R.E.M.,https://www.udiscovermusic.com/artists/r-e-m/,
Rainbow,https://www.udiscovermusic.com/artist/rainbow,
Rammstein,https://www.udiscovermusic.com/artist/rammstein,
Ray Charles,https://www.udiscovermusic.com/artist/ray-charles,
Red Hot Chili Peppers,https://www.udiscovermusic.com/artist/red-hot-chili-peppers,
Richie Havens,https://www.udiscovermusic.com/artist/richie-havens,
Rick James,https://www.udiscovermusic.com/artist/rick-james,
Rick Nelson,https://www.udiscovermusic.com/artist/rick-nelson,
Rick Ross,https://www.udiscovermusic.com/artist/rick-ross,
Rise Against,https://www.udiscovermusic.com/artist/rise-against,
Robbie Williams,https://www.udiscovermusic.com/artist/robbie-williams,
Robert Cray,https://www.udiscovermusic.com/artist/robert-cray,
Robert Glasper,https://www.udiscovermusic.com/artist/robert-glasper,
Robert Plant,https://www.udiscovermusic.com/artist/robert-plant,
Rod Stewart,https://www.udiscovermusic.com/artist/rod-stewart,
Ronnie Lane,https://www.udiscovermusic.com/artist/ronnie-lane,
Rory Gallagher,https://www.udiscovermusic.com/artist/rory-gallagher,
Rosanne Cash,https://www.udiscovermusic.com/artist/rosanne-cash,
Roxy Music,https://www.udiscovermusic.com/artist/roxy-music,
Roy Orbison,https://www.udiscovermusic.com/artist/roy-orbison,
Ruff Ryders,https://www.udiscovermusic.com/artist/ruff-ryders,
Rufus Wainwright,https://www.udiscovermusic.com/artist/rufus-wainwright,
Ryan Adams,https://www.udiscovermusic.com/artist/ryan-adams,
Saint Etienne,https://www.udiscovermusic.com/artist/saint-etienne,
Salt-n-Pepa,https://www.udiscovermusic.com/artist/salt-n-pepa,
Sam Hunt,https://www.udiscovermusic.com/artist/sam-hunt,
Sandy Denny,https://www.udiscovermusic.com/artist/sandy-denny,
Schiller,https://www.udiscovermusic.com/artists/schiller/,
Scorpions,https://www.udiscovermusic.com/artist/scorpions,
Secret Garden,https://www.udiscovermusic.com/artist/secret-garden,
Sensational Alex Harvey Band,https://www.udiscovermusic.com/artist/sensational-alex-harvey-band,
Serge Gainsbourg,https://www.udiscovermusic.com/artist/serge-gainsbourg,
Sex Pistols,https://www.udiscovermusic.com/artist/sex-pistols,
Shaggy,https://www.udiscovermusic.com/artist/shagg,
Sham 69,https://www.udiscovermusic.com/artist/sham-69,
Simple Minds,https://www.udiscovermusic.com/artist/simple-minds,
Siouxsie & The Banshees,https://www.udiscovermusic.com/artist/siouxsie-and-the-banshees,
Sly & Robbie,https://www.udiscovermusic.com/artist/sly-and-robbie,
Small Faces,https://www.udiscovermusic.com/artist/small-faces,
Smokey Robinson & The Miracles,https://www.udiscovermusic.com/artist/smokey-robinson-the-miracles,
Snoop Dogg,https://www.udiscovermusic.com/artist/snoop-dogg,
Snow Patrol,https://www.udiscovermusic.com/artist/snow-patrol,
Soft Cell,https://www.udiscovermusic.com/artist/soft-cell,
Sonny Boy Williamson,https://www.udiscovermusic.com/artist/sonny-boy-williamson,
Soul II Soul,https://www.udiscovermusic.com/artist/soul-ii-soul,
Soundgarden,https://www.udiscovermusic.com/artist/soundgarden,
Spandau Ballet,https://www.udiscovermusic.com/artist/spandau-ballet,
Sparks,https://www.udiscovermusic.com/artist/sparks,
Spice Girls,https://www.udiscovermusic.com/artist/spice-girls,
Stan Getz,https://www.udiscovermusic.com/artist/stan-getz,
Status Quo,https://www.udiscovermusic.com/artist/status-quo,
Steel Pulse,https://www.udiscovermusic.com/artist/steel-pulse,
Steely Dan,https://www.udiscovermusic.com/artist/steely-dan,
Stereophonics,https://www.udiscovermusic.com/artist/stereophonics,
Stero MCs,https://www.udiscovermusic.com/artist/stereo-mcs,
Steve Earle,https://www.udiscovermusic.com/artist/Steve-Earle,
Steve Hackett,https://www.udiscovermusic.com/artist/steve-hackett,
Steve Hillage,https://www.udiscovermusic.com/artist/steve-hillage,
